Monitoring Route	Date	eBird 	# of Species	Total species	CAGO	H/S	MAWR	H/S	GBHE	H/S	WODU	H/S	WOTH	H/S
Blue Trail	3/23/2017	N	1	5	6	2								
Blue Trail	3/23/2017	N	1	0	2	3								
Blue Trail	3/23/2017	N	2	0										
Blue Trail	3/23/2017	N	1	0										
Blue Trail	3/23/2017	N	1	0										
Red Trail	3/23/2017	N	1	1										
Blue Trail	3/24/2017	N	2	6	2	2								
Blue Trail	3/24/2017	N	1	0										
Blue Trail	3/24/2017	N	2	0	3	2								
Blue Trail	3/24/2017	N	1	0										
Blue Trail	3/24/2017	N	1	0										
Blue Trail	3/24/2017	N	1	0										
Blue Trail	3/24/2017	N	4	0	1	2								
Red Trail	4/3/2017	N	1	2										
Red Trail	4/3/2017	N	1	0										
Green Trail	4/3/2017	N	1	4										
Green Trail	4/3/2017	N	1	0					1	2				
Green Trail	4/3/2017	N	1	0	1	1								
Green Trail	4/3/2017	N	1	0										
Green Trail	4/3/2017	N	1	0	1	1								
Purple Trail	4/3/2017	N	1	3										
Purple Trail	4/3/2017	N	2	0										
Purple Trail	4/3/2017	N	1	0										
Blue Trail	4/3/2017	N	1	4										
Blue Trail	4/3/2017	N	1	0	5	2								
Blue Trail	4/3/2017	N	1	0										
Blue Trail	4/3/2017	N	1	0										
Blue Trail	4/3/2017	N	1	0										
Blue Trail	4/3/2017	N	1	0	1	2								
Blue Trail	4/3/2017	N	1	0	1	1								
Purple Trail	4/10/2017	N	1	4										
Purple Trail	4/10/2017	N	1	0										
Purple Trail	4/10/2017	N	1	0										
Purple Trail	4/10/2017	N	1	0	2	2								
Purple Trail	4/10/2017	N	1	0										
Green Trail	4/10/2017	N	1	5										
Green Trail	4/10/2017	N	1	0										
Green Trail	4/10/2017	N	1	0	2	2								
Green Trail	4/10/2017	N	1	0										
Green Trail	4/10/2017	N	1	0										
Green Trail	4/10/2017	N	1	0										
Red Trail	4/10/2017	N	1	3										
Red Trail	4/10/2017	N	1	0										
Red Trail	4/10/2017	N	1	0										
Purple Trail	4/13/2017	N	1	0										
Purple Trail	4/13/2017	N	1	5										
Purple Trail	4/13/2017	N	1	0										
Purple Trail	4/13/2017	N	2	0										
Purple Trail	4/13/2017	N	1	0										
Purple Trail	4/17/2017	N	1	1										
Blue Trail	4/17/2017	N	2	6										
Blue Trail	4/17/2017	N	2	0	2	2								
Blue Trail	4/17/2017	N	1	0										
Blue Trail	4/17/2017	N	1	0										
Blue Trail	4/17/2017	N	1	0										
Red Trail	4/17/2017	N	1	3	1	1								
Red Trail	4/17/2017	N	1	0										
Red Trail	4/17/2017	N	1	0										
Green Trail	4/17/2017	N	1	4										
Green Trail	4/17/2017	N	1	0										
Green Trail	4/17/2017	N	1	0										
Green Trail	4/17/2017	N	1	0										
Green Trail	4/17/2017	N	1	0										
Green Trail	4/24/2017	N	1	2										
Green Trail	4/24/2017	N	1	0	1	1								
Purple Trail	4/24/2017	N	1	2										
Purple Trail	4/24/2017	N	1	0										
Purple Trail	4/24/2017	N	1	0										
Purple Trail	4/24/2017	N	1	0										
Red Trail	4/24/2017	N	1	2										
Red Trail	4/24/2017	N	1	0										
Red Trail	4/24/2017	N	1	0										
Purple Trail	5/23/2017	N	3	7										
Purple Trail	5/23/2017	N	1	0										
Purple Trail	5/23/2017	N	2	0										
Purple Trail	5/23/2017	N	1	0										
Purple Trail	5/23/2017	N	2	0										
Purple Trail	5/23/2017	N	1	0										
Blue Trail	5/23/2017	N	2	16										
Blue Trail	5/23/2017	N	1	0										
Blue Trail	5/23/2017	N	1	0					1	2				
Blue Trail	5/23/2017	N	1	0										
Blue Trail	5/23/2017	N	3	0										
Blue Trail	5/23/2017	N	3	0										
Blue Trail	5/23/2017	N	1	0										
Blue Trail	5/23/2017	N	1	0										
Blue Trail	5/23/2017	N	2	0					1	3				
Blue Trail	5/23/2017	N	1	0										
Blue Trail	5/23/2017	N	3	0										
Blue Trail	5/23/2017	N	2	0	1	2								
Green Trail	5/23/2017	N	1	11										
Green Trail	5/23/2017	N	1	0										
Green Trail	5/23/2017	N	1	0										
Green Trail	5/23/2017	N	1	0										
Green Trail	5/23/2017	N	2	0										
Green Trail	5/23/2017	N	2	0										
Green Trail	5/23/2017	N	2	0										
Green Trail	5/23/2017	N	1	0										
Green Trail	5/23/2017	N	1	0										
Green Trail	5/23/2017	N	1	0										
Green Trail	5/23/2017	N	1	0										
Red Trail	5/23/2017	N	3	12										
Red Trail	5/23/2017	N	2	0	3	1								
Red Trail	5/23/2017	N	1	0										
Red Trail	5/23/2017	N	1	0										
Red Trail	5/23/2017	N	1	0										
Red Trail	5/23/2017	N	1	0										
Red Trail	5/23/2017	N	1	0										
Red Trail	5/23/2017	N	2	0										
Red Trail	5/23/2017	N	1	0										
Red Trail	5/23/2017	N	2	0										
Red Trail	5/30/2017	N	2	4										
Red Trail	5/30/2017	N	1	0										
Red Trail	5/30/2017	N	2	0										
Blue Trail	5/30/2017	N	1	6										
Blue Trail	5/30/2017	N	1	0							3	2		
Blue Trail	5/30/2017	N	1	0					1	2				
Blue Trail	5/30/2017	N	1	0					1	2				
Blue Trail	5/30/2017	N	1	0			1	1						
Blue Trail	5/30/2017	N	1	0										
Blue Trail	5/30/2017	N	1	0										
Red Trail	6/1/2017	N	3	11										
Red Trail	6/1/2017	N	2	0										
Red Trail	6/1/2017	N	1	0										
Red Trail	6/1/2017	N	2	0										
Red Trail	6/1/2017	N	1	0										
Red Trail	6/1/2017	N	2	0									1	1
Red Trail	6/1/2017	N	2	0										
Red Trail	6/1/2017	N	2	0										
Blue Trail	6/1/2017	N	2	7							1	3		
Blue Trail	6/1/2017	N	2	0					1	2				
Blue Trail	6/1/2017	N	1	0										
Blue Trail	6/1/2017	N	1	0										
Blue Trail	6/1/2017	N	2	0										
Blue Trail	6/1/2017	N	1	0										
Blue Trail	6/1/2017	N	1	0										
Green Trail	6/1/2017	N	4	13									1	1
Green Trail	6/1/2017	N	1	0										
Green Trail	6/1/2017	N	1	0										
Green Trail	6/1/2017	N	1	0										
Green Trail	6/1/2017	N	3	0										
Green Trail	6/1/2017	N	1	0										
Green Trail	6/1/2017	N	1	0										
Green Trail	6/1/2017	N	3	0										
Green Trail	6/1/2017	N	2	0										
Green Trail	6/1/2017	N	1	0										
Purple Trail	6/9/2017	N	2	6										
Purple Trail	6/9/2017	N	1	0										
Purple Trail	6/9/2017	N	2	0										
Purple Trail	6/9/2017	N	2	0										
Purple Trail	6/9/2017	N	1	0										
Purple Trail	6/9/2017	N	1	0										
Purple Trail	6/9/2017	N	1	0										
Purple Trail	6/9/2017	N	1	0										
Blue Trail	6/21/2017	N	3	5					1	2				
Blue Trail	6/21/2017	N	2	0					1	3				
Blue Trail	6/21/2017	N	1	0										
Blue Trail	6/21/2017	N	1	0					1	2				
Blue Trail	6/21/2017	N	1	0										
Blue Trail	6/21/2017	N	1	0										
Blue Trail	6/21/2017	N	1	0										
Green Trail	6/21/2017	N	2	6										
Green Trail	6/21/2017	N	1	0										
Green Trail	6/21/2017	N	4	0										
Green Trail	7/13/2017	N	2	6										
Green Trail	7/13/2017	N	2	0										
Green Trail	7/13/2017	N	1	0										
Green Trail	7/13/2017	N	1	0										
Green Trail	7/13/2017	N	1	0										
Blue Trail	7/13/2017	N	1	6					1	1				
Blue Trail	7/13/2017	N	1	0										
Blue Trail	7/13/2017	N	1	0										
Blue Trail	7/13/2017	N	1	0										
Blue Trail	7/13/2017	N	1	0					3	3				
Blue Trail	7/13/2017	N	1	0										
Blue Trail	7/13/2017	N	1	0							3	2		
Blue Trail	7/13/2017	N	1	0							1	2		
Blue Trail	7/17/2017	N	2	5					1	3				
Blue Trail	7/17/2017	N	1	0							1	2		
Blue Trail	7/17/2017	N	1	0										
Blue Trail	7/17/2017	N	1	0										
Blue Trail	7/17/2017	N	1	0										
Blue Trail	7/17/2017	N	1	0										
Blue Trail	7/17/2017	N	1	3										
Blue Trail	7/17/2017	N	1	0										
Blue Trail	7/17/2017	N	1	0										
Blue Trail	7/17/2017	N	1	0										
Blue Trail	7/17/2017	N	1	0										
Blue Trail	7/17/2017	N	1	0										
Blue Trail	7/17/2017	N	1	0										
Red Trail	7/19/2017	N	2	4										
Red Trail	7/19/2017	N	1	0										
Red Trail	7/19/2017	N	2	0										
Red Trail	7/19/2017	N	1	0										
Blue Trail	7/25/2017	N	1	4										
Blue Trail	7/25/2017	N	1	0										
Blue Trail	7/25/2017	N	1	0										
Blue Trail	7/25/2017	N	1	0										
Blue Trail	7/25/2017	N	1	0										
Blue Trail	7/25/2017	N	1	0										
Green Trail	8/2/2017	N	2	5										
Green Trail	8/2/2017	N	2	0										
Green Trail	8/2/2017	N	1	0										
Blue Trail	8/2/2017	N	3	5										
Blue Trail	8/2/2017	N	2	0										
